"Problem","Severity","Source File","Source Line","Source Column","Source Type","Source Method","Sink File","Sink Line","Sink Column","Rule","Description","URL","Category","Engine"
"1","1","/Users/ashutoshraut/Documents/GoNoGo/force-app/main/default/classes/PostInstallClass.cls","3","17","PostInstallClass","onInstall","/Users/ashutoshraut/Documents/GoNoGo/force-app/main/default/classes/PostInstallClass.cls","318","18","ApexFlsViolationRule","FLS validation is missing for [INSERT] operation on [GoNoGoStatus__c] with field(s) [Max_Range__c,Min_Range__c,Static_Resource_Name__c,Name].","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","Security","sfge"
"2","1","/Users/ashutoshraut/Documents/GoNoGo/force-app/main/default/classes/PostInstallClass.cls","3","17","PostInstallClass","onInstall","/Users/ashutoshraut/Documents/GoNoGo/force-app/main/default/classes/PostInstallClass.cls","22","18","ApexFlsViolationRule","FLS validation is missing for [INSERT] operation on [Go_No_Go_Configuration__c] with field(s) [Name].","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","Security","sfge"
"3","1","/Users/ashutoshraut/Documents/GoNoGo/force-app/main/default/classes/PostInstallClass.cls","3","17","PostInstallClass","onInstall","/Users/ashutoshraut/Documents/GoNoGo/force-app/main/default/classes/PostInstallClass.cls","284","18","ApexFlsViolationRule","FLS validation is missing for [INSERT] operation on [Go_No_Go_Question_Bank_Scoring__c] with field(s) [Go_No_Go_Question_Bank__c,Score__c,Value__c].","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","Security","sfge"
"4","1","/Users/ashutoshraut/Documents/GoNoGo/force-app/main/default/classes/PostInstallClass.cls","3","17","PostInstallClass","onInstall","/Users/ashutoshraut/Documents/GoNoGo/force-app/main/default/classes/PostInstallClass.cls","130","18","ApexFlsViolationRule","FLS validation is missing for [INSERT] operation on [Go_No_Go_Question_Bank__c] with field(s) [Data_Type__c,Go_No_Go_Section__c,Make_Required__c,Question_Label__c,Question_Sequence__c].","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","Security","sfge"
"5","1","/Users/ashutoshraut/Documents/GoNoGo/force-app/main/default/classes/PostInstallClass.cls","3","17","PostInstallClass","onInstall","/Users/ashutoshraut/Documents/GoNoGo/force-app/main/default/classes/PostInstallClass.cls","36","18","ApexFlsViolationRule","FLS validation is missing for [INSERT] operation on [Go_No_Go_Section__c] with field(s) [Go_No_Go_Configuration__c,Section_Sequence__c,Name].","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#ApexFlsViolationRule","Security","sfge"
"6","1","/Users/ashutoshraut/Documents/GoNoGo/force-app/main/default/classes/PostInstallClass.cls","3","17","PostInstallClass","onInstall","/Users/ashutoshraut/Documents/GoNoGo/force-app/main/default/classes/PostInstallClass.cls","6","73","UseWithSharingOnDatabaseOperation","Database operation must be executed from a class that enforces sharing rules.","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#UseWithSharingOnDatabaseOperation","Security","sfge"
"7","1","/Users/ashutoshraut/Documents/GoNoGo/force-app/main/default/classes/PostInstallClass.cls","3","17","PostInstallClass","onInstall","/Users/ashutoshraut/Documents/GoNoGo/force-app/main/default/classes/PostInstallClass.cls","10","63","UseWithSharingOnDatabaseOperation","Database operation must be executed from a class that enforces sharing rules.","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#UseWithSharingOnDatabaseOperation","Security","sfge"
"8","1","/Users/ashutoshraut/Documents/GoNoGo/force-app/main/default/classes/PostInstallClass.cls","3","17","PostInstallClass","onInstall","/Users/ashutoshraut/Documents/GoNoGo/force-app/main/default/classes/PostInstallClass.cls","22","18","UseWithSharingOnDatabaseOperation","Database operation must be executed from a class that enforces sharing rules.","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#UseWithSharingOnDatabaseOperation","Security","sfge"
"9","1","/Users/ashutoshraut/Documents/GoNoGo/force-app/main/default/classes/PostInstallClass.cls","3","17","PostInstallClass","onInstall","/Users/ashutoshraut/Documents/GoNoGo/force-app/main/default/classes/PostInstallClass.cls","36","18","UseWithSharingOnDatabaseOperation","Database operation must be executed from a class that enforces sharing rules.","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#UseWithSharingOnDatabaseOperation","Security","sfge"
"10","1","/Users/ashutoshraut/Documents/GoNoGo/force-app/main/default/classes/PostInstallClass.cls","3","17","PostInstallClass","onInstall","/Users/ashutoshraut/Documents/GoNoGo/force-app/main/default/classes/PostInstallClass.cls","130","18","UseWithSharingOnDatabaseOperation","Database operation must be executed from a class that enforces sharing rules.","https://forcedotcom.github.io/sfdx-scanner/en/v3.x/salesforce-graph-engine/rules/#UseWithSharingOnDatabaseOperation","Security","sfge"
